#CLOCKS
('DPLL4_ENABLE', '0x46018', '')
('PLANE_WM_4_D_2', '0x73548', '')
('PLANE_WM_4_D_3', '0x7354c', '')
('PLANE_WM_4_D_4', '0x73550', '')
('PLANE_WM_4_D_5', '0x73554', '')
('PLANE_WM_4_D_6', '0x73558', '')
('PLANE_WM_4_D_7', '0x7355c', '')
('PLANE_WM_5_D_0', '0x73640', '')
('PLANE_WM_5_D_1', '0x73644', '')
('PLANE_WM_5_D_2', '0x73648', '')
('PLANE_WM_5_D_3', '0x7364c', '')
('PLANE_WM_5_D_4', '0x73650', '')
('PLANE_WM_5_D_5', '0x73654', '')
('PLANE_WM_5_D_6', '0x73658', '')
('PLANE_WM_5_D_7', '0x7365c', '')
('PLANE_WM_6_D_0', '0x73740', '')
('PLANE_WM_6_D_1', '0x73744', '')
('PLANE_WM_6_D_2', '0x73748', '')
('PLANE_WM_6_D_3', '0x7374c', '')
('PLANE_WM_6_D_4', '0x73750', '')
('PLANE_WM_6_D_5', '0x73754', '')
('PLANE_WM_6_D_6', '0x73758', '')
('PLANE_WM_6_D_7', '0x7375c', '')
('PLANE_WM_7_D_0', '0x73840', '')
('PLANE_WM_7_D_1', '0x73844', '')
('PLANE_WM_7_D_2', '0x73848', '')
('PLANE_WM_7_D_3', '0x7384c', '')
('PLANE_WM_7_D_4', '0x73850', '')
('PLANE_WM_7_D_5', '0x73854', '')
('PLANE_WM_7_D_6', '0x73858', '')
('PLANE_WM_7_D_7', '0x7385c', '')
('PLANE_WM_TRANS_1_D', '0x73268', '')
('PLANE_WM_TRANS_2_D', '0x73368', '')
('PLANE_WM_TRANS_3_D', '0x73468', '')
('PLANE_WM_TRANS_4_D', '0x73568', '')
('PLANE_WM_TRANS_5_D', '0x73668', '')
('PLANE_WM_TRANS_6_D', '0x73768', '')
('PLANE_WM_TRANS_7_D', '0x73868', '')
# PIPE_D_CURSOR_PLANE
('CUR_BUF_CFG_D', '0x7317c', '')
('CUR_BASE_D', '0x73084', '')
('CUR_CTL_D', '0x73080', '')
('CUR_FBC_CTL_D', '0x730a0', '')
('CUR_POS_D', '0x73088', '')
('CUR_SURFLIVE_D', '0x730ac', '')
('CUR_WM_0_D', '0x73140', '')
('CUR_WM_1_D', '0x73144', '')
('CUR_WM_2_D', '0x73148', '')
('CUR_WM_3_D', '0x7314c', '')
('CUR_WM_4_D', '0x73150', '')
('CUR_WM_5_D', '0x73154', '')
('CUR_WM_6_D', '0x73158', '')
('CUR_WM_7_D', '0x7315c', '')
('CUR_WM_TRANS_D', '0x73168', '')
#PIPE_SCALER_D
('PS_CTRL_1_D', '0x69980', '')
('PS_CTRL_2_D', '0x69a80', '')
('PS_ECC_STAT_1_D', '0x699d0', '')
('PS_ECC_STAT_2_D', '0x69ad0', '')
('PS_HPHASE_1_D', '0x69994', '')
('PS_HPHASE_2_D', '0x69a94', '')
('PS_HSCALE_1_D', '0x69990', '')
('PS_HSCALE_2_D', '0x69a90', '')
('PS_PWR_GATE_1_D', '0x69960', '')
('PS_PWR_GATE_2_D', '0x69a60', '')
('PS_VPHASE_1_D', '0x69988', '')
('PS_VPHASE_2_D', '0x69a88', '')
('PS_VSCALE_1_D', '0x69984', '')
('PS_VSCALE_2_D', '0x69a84', '')
('PS_WIN_POS_1_D', '0x69970', '')
('PS_WIN_POS_2_D', '0x69a70', '')
('PS_WIN_SZ_1_D', '0x69974', '')
('PS_WIN_SZ_2_D', '0x69a74', '')
#TRANSCODER_D_CONTROL
('TRANS_CONF_D', '0x73008', '')
#TRANSCODER_DSI_CONTROL
('TRANS_CONF_DSI0', '0x7b008', '')
('TRANS_CONF_DSI1', '0x7b808', '')
# TRANSCODER_D_TIMING
('TRANS_HBLANK_D', '0x63004', '')
('TRANS_HSYNC_D', '0x63008', '')
('TRANS_HTOTAL_D', '0x63000', '')
('TRANS_MULT_D', '0x6302c', '')
('TRANS_SPACE_D', '0x63024', '')
('TRANS_VBLANK_D', '0x63010', '')
('TRANS_VSYNC_D', '0x63014', '')
('TRANS_VSYNCSHIFT_D', '0x63028', '')
('TRANS_VTOTAL_D', '0x6300c', '')
# TRANSCODER_DSI_TIMING
('TRANS_HSYNC_DSI0', '0x6b008', '')
('TRANS_HSYNC_DSI1', '0x6b808', '')
('TRANS_HTOTAL_DSI0', '0x6b000', '')
('TRANS_HTOTAL_DSI1', '0x6b800', '')
('TRANS_SPACE_DSI0', '0x6b024', '')
('TRANS_SPACE_DSI1', '0x6b824', '')
('TRANS_VBLANK_DSI0', '0x6b010', '')
('TRANS_VBLANK_DSI1', '0x6b810', '')
('TRANS_VSYNC_DSI0', '0x6b014', '')
('TRANS_VSYNC_DSI1', '0x6b814', '')
('TRANS_VSYNCSHIFT_DSI0', '0x6b028', '')
('TRANS_VSYNCSHIFT_DSI1', '0x6b828', '')
('TRANS_VTOTAL_DSI0', '0x6b00c', '')
('TRANS_VTOTAL_DSI1', '0x6b80c', '')
# TRANSCODER_D_M_N
('TRANS_DATAM1_D', '0x63030', '')
('TRANS_DATAN1_D', '0x63034', '')
('TRANS_LINKM1_D', '0x63040', '')
('TRANS_LINKN1_D', '0x63044', '')
# TRANSCODER_D_DDI_CONTROL
('TRANS_DDI_FUNC_CTL_D', '0x63400', '')
('TRANS_MSA_MISC_D', '0x63410', '')
# TRANSCODER_DSI_DDI_CONTROL
('TRANS_DDI_FUNC_CTL_DSI0', '0x6b400', '')
('TRANS_DDI_FUNC_CTL_DSI1', '0x6bc00', '')
# MBUS_CTL
('MBUS_DBOX_CTL_D', '0x7303c', '')
# WATERMARK
('WM_LINETIME_D', '0x4527c', '')

